LLCFileName MouseID DaysAfterInjection
LLC_file_001 1 5
LLC_file_002 4 5
LLC_file_003 6 5
LLC_file_004 5 5
LLC_file_005 17 5
LLC_file_006 6 5
LLC_file_007 15 5
LLC_file_008 16 5
LLC_file_009 4 5
LLC_file_010 5 5
LLC_file_011 6 5
LLC_file_012 12 5
LLC_file_013 13 5
LLC_file_014 11 5
LLC_file_015 12 5
LLC_file_016 13 5
LLC_file_017 14 5
LLC_file_018 11 5
LLC_file_019 12 5
LLC_file_020 13 5
LLC_file_021 14 5
LLC_file_022 11 5
LLC_file_023 12 5
LLC_file_024 13 5
LLC_file_025 14 5
LLC_file_026 13 5
LLC_file_027 14 5
LLC_file_028 11 5
LLC_file_029 12 5
LLC_file_030 13 5
LLC_file_031 14 5
LLC_file_032 11 5
LLC_file_033 11 5
LLC_file_034 12 5
LLC_file_035 13 5
LLC_file_036 14 5
LLC_file_037 14 5
LLC_file_038 20 5
LLC_file_039 21 5
LLC_file_040 22 5
LLC_file_041 33 5
LLC_file_042 34 5
LLC_file_043 1 5
LLC_file_044 2 5
LLC_file_045 3 5
LLC_file_046 30 5
LLC_file_047 32 5
LLC_file_048 1 5
LLC_file_049 2 5
LLC_file_050 3 5
LLC_file_051 30 5
LLC_file_052 31 5
LLC_file_053 32 5
LLC_file_054 30 5
LLC_file_055 32 5
LLC_file_056 1 5
LLC_file_057 2 5
LLC_file_058 3 5
LLC_file_059 31 5
LLC_file_060 2 5
LLC_file_061 3 5
LLC_file_062 3 5
LLC_file_063 4 5
LLC_file_064 5 5
LLC_file_065 6 5
LLC_file_066 8 5
LLC_file_067 9 5
LLC_file_068 19 5
LLC_file_069 7 5
LLC_file_070 18 5
LLC_file_071 7 5
LLC_file_072 8 5
LLC_file_073 9 5
LLC_file_074 9 5
LLC_file_075 7 5
LLC_file_076 8 5
LLC_file_077 26 5
LLC_file_078 27 5
LLC_file_079 28 5
LLC_file_080 29 5
LLC_file_081 38 5
LLC_file_082 40 5
LLC_file_083 10 5
LLC_file_084 10 5
LLC_file_085 23 5
LLC_file_086 23 5
LLC_file_087 25 5
LLC_file_088 37 5
LLC_file_089 10 5
LLC_file_090 23 5
LLC_file_091 35 5
LLC_file_092 36 5
LLC_file_093 10 5
LLC_file_094 10 5
LLC_file_095 10 5
LLC_file_096 27 5
LLC_file_097 39 5
LLC_file_098 40 5
LLC_file_099 23 5
LLC_file_100 24 5
LLC_file_101 25 5
LLC_file_102 36 5
